Device: cuda
Config: 2s_50ov_nozero
Window: 100 bins (2.0s), stride: 50 (50% overlap)
Outdir: /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/runs/2s_50ov_nozero
Train: 159, Val: 28, Val subset: 8
Building dataset...
  Added Phase 1 data: 226 sessions (['train'])
  192668 windows (21.1s)
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/train.py:124: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(enc_layer, num_layers=num_layers)
Params: 2,291,972
Loading pretrained encoder from: /scratch/ml8347/neuroinformatics/project2/phase1/masked_autoencoder/sweep_3325164_5/best_model.pt
  Phase 1 checkpoint: epoch=49, val_nmse=0.7288985848426819
  Transferred 50 tensors, skipped 7
/scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/train.py:297: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  return loss, {"pos_loss": float(pos_loss), "vel_loss": float(vel_loss), "cons_loss": float(cons_loss)}
Ep  41/50 | loss=0.0150 (pos=0.0144 vel=0.0002 cons=0.0018) | val_r2=0.8109 * | lr_enc=1.05e-06 lr_head=5.23e-05 | 50s
Ep  42/50 | loss=0.0149 (pos=0.0144 vel=0.0002 cons=0.0018) | val_r2=0.8120 * | lr_enc=8.52e-07 lr_head=4.26e-05 | 51s
Ep  43/50 | loss=0.0149 (pos=0.0143 vel=0.0002 cons=0.0018) | val_r2=0.8115  | lr_enc=6.79e-07 lr_head=3.40e-05 | 53s
Ep  44/50 | loss=0.0149 (pos=0.0143 vel=0.0002 cons=0.0018) | val_r2=0.8116  | lr_enc=5.28e-07 lr_head=2.64e-05 | 53s
Ep  45/50 | loss=0.0149 (pos=0.0143 vel=0.0002 cons=0.0018) | val_r2=0.8108  | lr_enc=3.99e-07 lr_head=1.99e-05 | 52s
Ep  46/50 | loss=0.0148 (pos=0.0143 vel=0.0002 cons=0.0018) | val_r2=0.8110  | lr_enc=2.92e-07 lr_head=1.46e-05 | 54s
Ep  47/50 | loss=0.0149 (pos=0.0143 vel=0.0002 cons=0.0018) | val_r2=0.8110  | lr_enc=2.08e-07 lr_head=1.04e-05 | 54s
Ep  48/50 | loss=0.0148 (pos=0.0143 vel=0.0002 cons=0.0018) | val_r2=0.8117  | lr_enc=1.48e-07 lr_head=7.41e-06 | 52s
Ep  49/50 | loss=0.0148 (pos=0.0142 vel=0.0002 cons=0.0018) | val_r2=0.8117  | lr_enc=1.12e-07 lr_head=5.60e-06 | 54s
Ep  50/50 | loss=0.0148 (pos=0.0142 vel=0.0002 cons=0.0018) | val_r2=0.8114  | lr_enc=1.00e-07 lr_head=5.00e-06 | 50s

Full validation with best model...
Full val R²: 0.6980 (best epoch 42)
Saved to /scratch/ml8347/neuroinformatics/project2/phase2/mae_multitask_p1_sweep/runs/2s_50ov_nozero/
